name,URI,synonym,comment,superclass,asserts
epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,epitheliocyte,,http://purl.obolibrary.org/obo/CL_0000548,
epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,epitheliocyte,,,http://purl.obolibrary.org/obo/UBERON_0000483
epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,epitheliocyte,,,http://purl.obolibrary.org/obo/UBERON_0000483
protoplast,http://purl.obolibrary.org/obo/CL_0000371,,,http://purl.obolibrary.org/obo/CL_0000578,
hemocyte,http://purl.obolibrary.org/obo/CL_0000387,,,http://purl.obolibrary.org/obo/CL_0000519,
hemocyte,http://purl.obolibrary.org/obo/CL_0000387,,,http://purl.obolibrary.org/obo/CL_0000548,
hemocyte,http://purl.obolibrary.org/obo/CL_0000387,,,,http://purl.obolibrary.org/obo/NCBITaxon_6656
hemocyte,http://purl.obolibrary.org/obo/CL_0000387,,,,http://purl.obolibrary.org/obo/CL_0000385
hemocyte,http://purl.obolibrary.org/obo/CL_0000387,,,,http://purl.obolibrary.org/obo/GO_0035010
bone marrow cell,http://purl.obolibrary.org/obo/CL_0002092,,MH consider whether bone marrow cells are bone cells in the structural sense vs. being part of bone organ sense.,http://purl.obolibrary.org/obo/CL_0001035,
bone marrow cell,http://purl.obolibrary.org/obo/CL_0002092,,MH consider whether bone marrow cells are bone cells in the structural sense vs. being part of bone organ sense.,,http://purl.obolibrary.org/obo/UBERON_0002371
bone marrow cell,http://purl.obolibrary.org/obo/CL_0002092,,MH consider whether bone marrow cells are bone cells in the structural sense vs. being part of bone organ sense.,,http://purl.obolibrary.org/obo/UBERON_0002371
stem cell,http://purl.obolibrary.org/obo/CL_0000034,,,http://purl.obolibrary.org/obo/CL_0011115,
stem cell,http://purl.obolibrary.org/obo/CL_0000034,,,,http://purl.obolibrary.org/obo/GO_0017145
stem cell,http://purl.obolibrary.org/obo/CL_0000034,,,,http://purl.obolibrary.org/obo/GO_0017145
myoepithelial cell of mammary gland,http://purl.obolibrary.org/obo/CL_0002324,,,http://purl.obolibrary.org/obo/CL_1000416,
luminal epithelial cell of mammary gland,http://purl.obolibrary.org/obo/CL_0002326,,,http://purl.obolibrary.org/obo/CL_0000069,
luminal epithelial cell of mammary gland,http://purl.obolibrary.org/obo/CL_0002326,,,http://purl.obolibrary.org/obo/CL_0002327,
