gen_name,luminal epithelial cell of mammary gland,myoepithelial cell of mammary gland
ENSG00000000003,89.85316584620607,82.86793413681887
ENSG00000000419,84.39993209981328,88.79222542861993
ENSG00000000457,81.64573077575963,76.04820913257512
ENSG00000000460,64.65370904769988,67.28059752164319
ENSG00000000938,42.60312340858937,51.909692751655065
ENSG00000000971,26.379222542861992,42.34001018502801
ENSG00000001036,74.49923612289933,68.29485656085555
ENSG00000001084,90.35392972330673,80.62298421320658
ENSG00000001167,80.85214734340519,73.76930911560007
ENSG00000001460,67.35274147003905,67.39093532507215
ENSG00000001461,88.70310643354269,87.78645391274826
ENSG00000001497,70.93447631980987,72.72534374469531
ENSG00000001561,65.67221184858258,40.44729248005432
ENSG00000001617,15.14174163978951,22.619249702936685
ENSG00000001626,49.77508063147174,45.19181802749957
ENSG00000001629,91.06688168392463,90.83347479205568
ENSG00000001630,96.68562213546087,90.74435579697844
ENSG00000001631,79.23103038533355,78.70056017654049
ENSG00000002016,89.19113902563231,87.18383975555932
ENSG00000002079,23.412833135291123,54.51536241724665
ENSG00000002330,52.09217450347988,49.834493294856564
ENSG00000002549,80.1010015277542,81.42081140723137
ENSG00000002586,84.55270751994568,70.56102529281955
ENSG00000002587,46.358852486844334,65.18417925649295
ENSG00000002726,23.84569682566627,37.901035477847564
ENSG00000002745,22.691393651332543,31.06857918859277
ENSG00000002746,39.76404685112884,42.97657443557969
ENSG00000002822,50.38618231200136,58.50025462570022
ENSG00000002834,80.81819725004243,67.48429808181973
ENSG00000002919,64.33967068409439,66.47852656594806
ENSG00000002933,61.343574944831104,30.610252928195553
ENSG00000003056,89.57307757596334,95.1748429808182
ENSG00000003096,39.72585299609574,75.74265829231031
ENSG00000003137,0.0,37.85011033780343
ENSG00000003147,93.1378373790528,74.69020539806485
ENSG00000003249,65.4939738584281,34.91342726192497
ENSG00000003393,76.83754880325921,81.96825666270581
ENSG00000003400,58.55117976574435,61.51756917331522
ENSG00000003402,97.31369886267187,97.65319979629943
ENSG00000003436,97.72534374469531,93.4433882193176
ENSG00000003509,74.89814971991173,78.64114751315566
ENSG00000003756,96.49040909862502,94.72924800543201
ENSG00000003987,61.79765744355797,52.355287727041244
ENSG00000003989,84.82006450517738,72.43676795111188
ENSG00000004059,80.89458496010865,68.3288066542183
ENSG00000004139,58.68273637752503,63.928025802070955
ENSG00000004142,78.60719741979291,74.7708368698014
ENSG00000004399,46.75776608385674,44.678322865387884
ENSG00000004455,95.17908674248854,95.06450517738924
ENSG00000004468,52.38499405873366,46.384315056866406
ENSG00000004478,89.27177049736886,88.28721778984892
ENSG00000004487,80.62298421320658,85.26990324223391
ENSG00000004534,98.00543201493804,97.81446273977254
ENSG00000004660,42.18723476489561,41.84349006959769
ENSG00000004700,82.15922593787133,84.1071125445595
ENSG00000004766,80.4999151247666,74.2658292310304
ENSG00000004777,0.0,7.082838227805126
ENSG00000004779,87.49787811916482,92.36547275505006
ENSG00000004799,89.02987608215922,86.88253267696486
ENSG00000004809,42.75165506705144,45.94720760482091
ENSG00000004838,0.0,29.37956204379562
ENSG00000004846,36.0295365812256,36.23748090307248
ENSG00000004848,20.849601086402988,21.49889662196571
ENSG00000004864,83.55542352741469,75.16126294347309
ENSG00000004866,79.74452554744525,80.85639110507555
ENSG00000004897,79.91427601425904,87.91801052452894
ENSG00000004939,48.40858937362078,51.68052962145646
ENSG00000004961,68.54523849940587,63.57579358343235
ENSG00000004975,66.3215073841453,62.28144627397726
ENSG00000005001,52.97063316924121,24.002716007469022
ENSG00000005007,62.88830419283653,68.75318282125275
ENSG00000005020,93.5112884060431,83.49601086402988
ENSG00000005022,98.84145306399591,98.68443388219318
ENSG00000005059,60.049227635376,59.9346460702767
ENSG00000005073,7.991003225258869,7.184688507893397
ENSG00000005075,85.4396537090477,81.6414870140893
ENSG00000005100,85.06195892038703,88.43999320998132
ENSG00000005102,24.23187913766763,27.14309964352402
ENSG00000005108,40.09930402308606,36.619419453403495
ENSG00000005156,69.67407910371753,72.20336105924291
ENSG00000005175,71.76625360719741,80.0628076727211
ENSG00000005187,53.259208962824644,64.47971481921574
ENSG00000005189,49.85995586487863,47.216092344253944
ENSG00000005194,78.88728569003564,80.63147173654728
ENSG00000005206,42.90018672551349,37.74401629604481
ENSG00000005238,54.03157358682736,46.859616363945
ENSG00000005249,71.7832286538788,44.96689865897131
ENSG00000005302,66.20268205737567,76.30707859446613
ENSG00000005339,90.5321677134612,91.55915803768461
ENSG00000005379,31.306229842132065,30.70785944661348
ENSG00000005421,25.882702427431674,42.0726531997963
ENSG00000005436,66.07112544559499,76.61687319640129
ENSG00000005448,67.2721099983025,64.4372772025123
ENSG00000005469,72.81870650144288,75.3989135970124
ENSG00000005471,20.679850619589203,20.590731624511967
ENSG00000005483,98.38737056526905,97.94601935155322
ENSG00000005486,71.67289085044985,68.09539976234934
ENSG00000005700,95.62468171787472,87.7227974876931
ENSG00000005801,89.09777626888474,90.48124257341708
ENSG00000005810,84.31505686640638,92.340010185028
ENSG00000005812,79.2437616703446,83.96282464776779
ENSG00000005844,42.73043625869971,46.184858258360215
ENSG00000005882,47.81446273977254,61.1526056696656
ENSG00000005884,78.57749108810049,91.2833135291122
ENSG00000005889,95.56951281616024,94.2327278900017
ENSG00000005893,98.29400780852147,99.11305381089798
ENSG00000005961,30.330164657952807,34.612120183330504
ENSG00000005981,65.96503140383636,61.288406043116616
ENSG00000006007,90.67645561025293,85.84281106773044
ENSG00000006015,52.2364624002716,60.01103378034289
ENSG00000006016,18.710745204549312,20.39127482600577
ENSG00000006025,27.520794432184687,43.39670684094381
ENSG00000006042,57.867934136818874,80.08827024274316
ENSG00000006047,37.78645391274826,23.353420471906297
ENSG00000006062,45.98964522152436,33.43659820064505
ENSG00000006071,43.226956374130026,44.37277202512307
ENSG00000006116,13.99592598879647,21.053301646579527
ENSG00000006118,62.05228314377864,62.77796638940757
