gen_name,hematopoietic stem cell and hematopoietic multipotent progenitor cell,long term hematopoietic stem cell,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell"
ENSMUSG00000000001,95.76264561019467,97.35360800562896,94.89484793995778
ENSMUSG00000000028,82.16323977796888,77.96888437182395,89.16816511609726
ENSMUSG00000000037,60.24157610820108,62.497068251114065,61.406457665546085
ENSMUSG00000000056,78.11351731686342,79.72011570635603,87.80001563599406
ENSMUSG00000000058,68.08302712844969,79.72402470487062,54.714252208584156
ENSMUSG00000000078,92.62371980298647,96.67344226409193,78.53178015792354
ENSMUSG00000000085,76.40528496599171,76.65155187241028,72.37510749745914
ENSMUSG00000000088,95.96591353295287,95.07466187162848,98.01031975607849
ENSMUSG00000000093,5.410053944179501,12.934876084747088,25.400672347744507
ENSMUSG00000000094,41.07184739269799,36.68986005785318,40.223594715034004
ENSMUSG00000000120,30.982722226565556,39.95387381752795,33.425846298178406
ENSMUSG00000000125,10.894378860136033,20.272066296614806,8.58416073801892
ENSMUSG00000000127,61.1015557814088,61.84035650066453,64.74474239699789
ENSMUSG00000000131,86.0839652880932,82.33914471112502,88.79290125869753
ENSMUSG00000000134,67.13314048940661,67.25041044484404,72.89891329841295
ENSMUSG00000000142,26.424829958564615,23.55562504886248,44.99648190133688
ENSMUSG00000000148,70.49878821046049,69.69744351497147,76.12383707294191
ENSMUSG00000000149,70.74114611836447,68.89609881948245,83.30857634274099
ENSMUSG00000000154,68.20029708388711,65.72590102415761,61.726995543741694
ENSMUSG00000000157,20.971777030724727,15.522633101399421,49.308107262919236
ENSMUSG00000000167,52.83011492455633,52.591666015166915,57.63036510046127
ENSMUSG00000000168,82.95285747791415,81.31889609881948,88.62872332108513
ENSMUSG00000000171,94.5508560706747,94.79321397857868,96.82980220467516
ENSMUSG00000000182,42.24063794855758,31.92869986709405,40.09459776405285
ENSMUSG00000000183,29.407395825189585,27.519349542647177,25.283402392307092
ENSMUSG00000000184,98.74521147681963,99.12438433273395,98.26831365804081
ENSMUSG00000000194,68.5638339457431,73.04354624345243,69.5098115862716
ENSMUSG00000000197,40.24704870612149,42.22109295598468,42.783988742084276
ENSMUSG00000000204,43.19834258462982,36.99867094050504,53.725275584395284
ENSMUSG00000000214,7.118286295051209,0.0,15.362364162301617
ENSMUSG00000000215,18.387929012586977,0.0,18.70846689078258
ENSMUSG00000000223,42.94425768118208,33.04276444374951,44.27331717613947
ENSMUSG00000000244,98.58885153623642,98.43640059416778,98.62403252286765
ENSMUSG00000000247,6.633570479243218,0.0,11.070283793292159
ENSMUSG00000000248,40.05159878039246,35.06762567430224,27.382534594636855
ENSMUSG00000000253,81.78406692205456,84.98162770698147,77.60143851145337
ENSMUSG00000000266,50.19935892424361,48.092408724884685,41.204753342193726
ENSMUSG00000000275,84.32882495504653,80.63482135876788,84.96208271440857
