gen_name,"effector memory CD4-positive, alpha-beta T cell","naive thymus-derived CD4-positive, alpha-beta T cell"
ENSMUSG00000000001,95.6570526140803,94.91729698279445
ENSMUSG00000000028,96.20147951126256,93.48765688637685
ENSMUSG00000000037,34.3903249937661,31.54351259246945
ENSMUSG00000000049,20.97082536779985,25.90807081705594
ENSMUSG00000000056,62.467791538525475,68.0949214529133
ENSMUSG00000000058,17.7167317762447,0.9059928517995179
ENSMUSG00000000078,99.25608843820132,99.00257667691797
ENSMUSG00000000085,63.39871997340204,72.66644501703932
ENSMUSG00000000088,94.43936497381765,91.74216607098329
ENSMUSG00000000094,28.717479843737014,26.988612750394815
ENSMUSG00000000120,37.17479843737013,38.8911977391738
ENSMUSG00000000125,58.50303382927437,38.31352339788879
ENSMUSG00000000127,22.799434793450253,47.348516332806916
ENSMUSG00000000131,85.72022275787549,97.87631950793782
ENSMUSG00000000134,73.19424819217024,76.45665364475106
ENSMUSG00000000142,74.36622059679162,58.11237636106724
ENSMUSG00000000148,64.60809575263902,75.34702019782229
ENSMUSG00000000149,70.75887291164491,64.85329565289668
ENSMUSG00000000167,35.603856703515916,55.29049954284765
ENSMUSG00000000168,72.5251433796027,73.20256005319591
ENSMUSG00000000171,92.72296567201397,89.7556312858449
ENSMUSG00000000182,28.02343944809243,34.140969162995596
ENSMUSG00000000183,26.419250270135485,20.63003906574682
ENSMUSG00000000184,99.09816307871331,99.83791870999917
ENSMUSG00000000194,79.27853046297066,83.89576926273793
ENSMUSG00000000197,47.16981132075472,51.99069071565123
ENSMUSG00000000204,45.1708087440778,27.582910813731193
ENSMUSG00000000214,22.86592968165572,12.060510348266977
ENSMUSG00000000223,48.57451583409526,43.446097581248445
ENSMUSG00000000244,98.58282769512094,95.98952705510764
ENSMUSG00000000247,16.403457734186684,8.648491397223838
ENSMUSG00000000248,54.18086609591888,35.86152439531211
ENSMUSG00000000253,40.46213947302802,35.45008727454077
ENSMUSG00000000263,30.23439448092428,47.43994680408943
ENSMUSG00000000266,49.351674839996676,38.61690632532624
ENSMUSG00000000275,80.04737760784639,83.11445432632367
ENSMUSG00000000276,63.72288255340371,79.768930263486
ENSMUSG00000000278,65.65123431136232,62.64649655057768
ENSMUSG00000000282,64.82004820879395,70.48042556728451
ENSMUSG00000000290,97.37760784639681,95.7484830853628
ENSMUSG00000000295,81.92170226913807,81.43545839913557
ENSMUSG00000000301,30.400631701437952,56.17986867259579
ENSMUSG00000000303,45.494971324079465,27.36680242706342
ENSMUSG00000000305,34.38201313274042,49.01088853794365
ENSMUSG00000000308,35.416839830438036,25.854043720388997
ENSMUSG00000000317,22.43371290832017,29.207879644252348
ENSMUSG00000000320,47.377607846396806,54.92062172720472
ENSMUSG00000000325,38.583658881223506,30.936746737594547
ENSMUSG00000000326,79.60684897348517,83.63394564042889
ENSMUSG00000000339,81.69312609093176,72.76618734934752
ENSMUSG00000000340,65.63461058931095,68.83467708419914
ENSMUSG00000000346,99.06907156512344,98.97348516332806
ENSMUSG00000000355,92.5276369379104,86.59712409608511
ENSMUSG00000000359,18.240379020862772,27.80733106142465
ENSMUSG00000000365,44.30221926689386,42.527636937910394
ENSMUSG00000000374,72.29656720139639,66.82736264649655
ENSMUSG00000000378,96.65447593716233,93.6996093425318
ENSMUSG00000000384,71.4030421411354,86.25633779403208
ENSMUSG00000000385,31.40221095503283,1.1096334469287674
ENSMUSG00000000386,77.16316183193416,66.00448840495386
ENSMUSG00000000392,53.927354334635524,28.933588230404787
ENSMUSG00000000394,0.0,55.59803840079793
ENSMUSG00000000399,92.28243703765273,90.21693957277034
ENSMUSG00000000402,48.794780151275866,41.10215277200565
ENSMUSG00000000409,99.68414928102402,99.5719391571773
ENSMUSG00000000416,46.98695037818968,41.40553569944311
ENSMUSG00000000420,82.73210871914222,86.68439863685478
ENSMUSG00000000435,20.596791621644087,20.272629041642425
ENSMUSG00000000439,87.72338126506524,89.0200315850719
ENSMUSG00000000440,11.92752057185604,18.585321253428646
ENSMUSG00000000441,94.03208378355914,91.32241708918627
ENSMUSG00000000486,97.31111295819133,96.45499127254593
ENSMUSG00000000489,39.78472279943479,56.17571274208295
ENSMUSG00000000530,0.0,59.26772504363726
ENSMUSG00000000531,49.75895603025518,54.52580832848475
ENSMUSG00000000532,57.35599700773003,62.81688970160418
ENSMUSG00000000538,68.8887041808661,58.97680990773835
ENSMUSG00000000552,12.808577840578506,25.1392236721802
ENSMUSG00000000555,44.57235475022858,47.33604854126839
ENSMUSG00000000560,55.091014878231235,59.63760285928019
ENSMUSG00000000561,86.19399883633946,93.38791455406866
ENSMUSG00000000562,54.26398470617572,61.47452414595628
ENSMUSG00000000563,98.86958690050702,97.82229241127088
ENSMUSG00000000567,36.15659546172388,40.19615992020613
ENSMUSG00000000568,92.28659296816556,95.270551076386
ENSMUSG00000000579,77.8114869919375,80.83700440528634
ENSMUSG00000000581,94.3354667109966,92.19516249688306
ENSMUSG00000000594,88.7706757543014,98.22541767101654
ENSMUSG00000000600,95.270551076386,98.56620397306956
ENSMUSG00000000605,90.60344111046463,90.75721053943978
ENSMUSG00000000606,59.816307871332384,69.45806666112543
ENSMUSG00000000617,40.466295403540855,53.071232648990105
ENSMUSG00000000627,64.7743329731527,53.31643254924777
ENSMUSG00000000628,62.168564541600865,82.67808162247528
ENSMUSG00000000631,73.61815310448009,72.69969246114205
ENSMUSG00000000632,43.188429889452244,47.60618402460311
