gen_name,peptic cell,stem cell of gastric gland
ENSMUSG00000000001,94.74266006367174,95.99840820657941
ENSMUSG00000000028,97.74495932083481,90.55535903784931
ENSMUSG00000000037,41.30261761584719,48.571807569862045
ENSMUSG00000000049,29.403961796957905,15.749911567032191
ENSMUSG00000000056,84.52865228157057,86.7925362575168
ENSMUSG00000000058,74.79660417403609,81.00459851432615
ENSMUSG00000000078,98.37283339228865,98.96533427661832
ENSMUSG00000000085,90.36522815705695,88.3622214361514
ENSMUSG00000000088,97.82012734347364,99.04050229925716
ENSMUSG00000000093,10.523523169437567,25.039794835514677
ENSMUSG00000000094,51.48125221082419,46.17527414220021
ENSMUSG00000000120,23.921117792713122,41.19649805447471
ENSMUSG00000000125,0.0,15.634948708878671
ENSMUSG00000000126,42.23116377785638,44.14573753095154
ENSMUSG00000000127,80.45631411390166,71.29908029713478
ENSMUSG00000000131,74.23947647683056,78.93968871595331
ENSMUSG00000000134,72.06844711708526,80.73487796250443
ENSMUSG00000000142,32.322249734701096,32.41510435090202
ENSMUSG00000000148,71.26370711001061,68.61513972408913
ENSMUSG00000000149,57.17191368942341,59.49770074283693
ENSMUSG00000000154,89.4013088079236,89.78157056950832
ENSMUSG00000000157,48.50106119561373,34.45348425893173
ENSMUSG00000000159,93.32331093031482,92.44782454899186
ENSMUSG00000000167,54.54545454545454,54.6692607003891
ENSMUSG00000000168,89.26865935620799,91.5679165192784
ENSMUSG00000000171,98.21365405022992,98.24018394057305
ENSMUSG00000000182,25.38468340997524,7.370887866996817
ENSMUSG00000000183,20.777325787053414,31.734170498761937
ENSMUSG00000000184,97.76264591439688,96.42288645206933
ENSMUSG00000000194,86.51397240891404,85.28917580474
ENSMUSG00000000197,46.1708524938097,30.045100813583304
ENSMUSG00000000202,41.73593915811814,33.18004952246197
ENSMUSG00000000204,37.26123098691192,19.764768305624337
ENSMUSG00000000214,5.734877962504421,12.252387690130881
ENSMUSG00000000223,27.997877608772548,27.869649805447473
ENSMUSG00000000244,30.014149274849665,36.040856031128406
ENSMUSG00000000248,14.043155288291477,39.90979837283339
ENSMUSG00000000253,61.319419879731164,51.58295012380616
ENSMUSG00000000263,39.984966395472235,44.19437566324726
ENSMUSG00000000266,71.32561018747789,67.5672090555359
ENSMUSG00000000275,77.68394057304563,76.9455252918288
ENSMUSG00000000276,63.68942341704987,70.59603820304208
ENSMUSG00000000278,75.60576582950124,87.49557835160948
ENSMUSG00000000282,51.66253979483552,52.11354793066856
ENSMUSG00000000290,38.5611956137248,45.06101874778918
ENSMUSG00000000295,71.81641315882561,74.29695790590732
ENSMUSG00000000296,74.12893526706756,66.39105058365759
ENSMUSG00000000301,56.82702511496286,59.31199151043509
ENSMUSG00000000303,99.4030774672798,99.19968164131589
ENSMUSG00000000305,21.811991510435092,37.5884329678104
ENSMUSG00000000308,99.4251857092324,99.38981252210824
ENSMUSG00000000317,31.53961796957906,26.46798726565264
ENSMUSG00000000320,42.72196674920411,44.495047753802616
ENSMUSG00000000325,52.06048814998231,51.33091616554651
ENSMUSG00000000326,93.49133356915458,92.73965334276618
ENSMUSG00000000339,75.71630703926424,77.1887159533074
ENSMUSG00000000340,83.962681287584,84.61708524938098
ENSMUSG00000000346,98.8724796604174,98.27555712769721
ENSMUSG00000000355,75.18128758401133,74.6462681287584
ENSMUSG00000000365,45.397064025468694,36.721789883268485
ENSMUSG00000000374,57.33993632826318,58.57357622921825
ENSMUSG00000000378,71.77661832331093,74.6904846126636
ENSMUSG00000000384,81.3052706048815,87.67244428723028
ENSMUSG00000000385,98.71772196674921,98.09426954368588
ENSMUSG00000000386,57.59197028652282,59.84258931729749
ENSMUSG00000000392,25.38026176158472,32.516802263883974
ENSMUSG00000000394,30.478422355854264,0.0
ENSMUSG00000000399,96.86062964273081,97.13477184294305
ENSMUSG00000000402,46.89600282985497,38.99893880438627
ENSMUSG00000000409,40.84718783162363,35.315705695083125
ENSMUSG00000000411,23.651397240891402,15.135302440749912
ENSMUSG00000000416,49.70374955783516,33.36575875486381
ENSMUSG00000000420,80.29271312345242,77.11796957905908
ENSMUSG00000000439,82.9412805093739,78.29412805093739
ENSMUSG00000000440,78.45330739299611,81.42023346303502
ENSMUSG00000000441,96.96232755571276,96.51574106827026
ENSMUSG00000000486,42.36381322957198,42.540679165192785
ENSMUSG00000000489,56.42023346303502,54.92129465864875
ENSMUSG00000000530,11.284046692607005,34.824902723735406
ENSMUSG00000000531,62.6989741775734,65.92235585426248
ENSMUSG00000000532,61.452069331446765,59.64803678811461
ENSMUSG00000000538,80.72603466572338,71.68376370711002
ENSMUSG00000000544,52.97576936681995,45.32189600282985
ENSMUSG00000000552,27.60877255040679,23.638132295719842
ENSMUSG00000000555,47.50176865935621,51.40608418818535
ENSMUSG00000000560,55.42978422355854,52.79448178280863
ENSMUSG00000000561,91.55465157410683,93.79200565970994
ENSMUSG00000000562,45.14060841881854,43.75221082419526
ENSMUSG00000000563,99.05376724442873,99.10682702511497
ENSMUSG00000000567,98.78846834099753,98.78846834099753
ENSMUSG00000000568,74.59762999646267,74.9778917580474
ENSMUSG00000000579,65.49787760877254,69.31818181818183
ENSMUSG00000000581,88.81322957198444,88.23841528121685
