gen_name,"CD4-positive, CD25-positive, alpha-beta regulatory T cell","CD4-positive, alpha-beta memory T cell"
ENSMUSG00000000001,90.37177747625509,90.16553595658074
ENSMUSG00000000028,37.66078697421981,43.343283582089555
ENSMUSG00000000037,5.10719131614654,10.583446404341927
ENSMUSG00000000056,63.348710990502035,65.438263229308
ENSMUSG00000000058,29.004070556309365,24.564450474898237
ENSMUSG00000000078,98.15468113975577,98.2089552238806
ENSMUSG00000000085,51.223880597014926,51.104477611940304
ENSMUSG00000000088,97.04748982360923,97.62279511533242
ENSMUSG00000000093,17.758480325644506,5.807327001356851
ENSMUSG00000000125,42.469470827679785,35.6797829036635
ENSMUSG00000000127,18.50203527815468,2.773405698778833
ENSMUSG00000000131,89.22659430122117,85.5088195386703
ENSMUSG00000000134,64.80325644504748,67.6146540027137
ENSMUSG00000000142,49.98100407055631,67.28358208955224
ENSMUSG00000000148,52.135685210312076,50.843962008141105
ENSMUSG00000000149,45.210312075983715,42.708276797829036
ENSMUSG00000000154,9.83989145183175,4.781546811397558
ENSMUSG00000000159,10.507462686567164,28.168249660786977
ENSMUSG00000000167,23.40841248303935,22.936227951153324
ENSMUSG00000000168,70.47489823609226,71.91316146540026
ENSMUSG00000000171,87.27815468113975,86.9796472184532
ENSMUSG00000000182,16.09226594301221,12.390773405698779
ENSMUSG00000000184,98.40976933514247,98.32293080054274
ENSMUSG00000000194,92.84667571234736,93.27544097693351
ENSMUSG00000000197,21.975576662143826,23.175033921302578
ENSMUSG00000000202,3.766621438263229,11.169606512890095
ENSMUSG00000000204,7.088195386702849,7.5278154681139755
ENSMUSG00000000244,98.55088195386703,97.51967435549525
ENSMUSG00000000247,19.983717774762553,25.590230664857533
ENSMUSG00000000253,35.32700135685211,36.54816824966079
ENSMUSG00000000263,35.80461329715061,33.438263229308006
ENSMUSG00000000266,27.41383989145183,15.48439620081411
ENSMUSG00000000275,63.84803256445048,61.26458616010855
ENSMUSG00000000276,51.95658073270013,52.20624151967436
ENSMUSG00000000278,46.08955223880597,51.9674355495251
ENSMUSG00000000282,62.800542740841244,59.85888738127544
ENSMUSG00000000290,96.34735413839891,97.48710990502035
ENSMUSG00000000295,73.94301221166893,77.14518317503392
ENSMUSG00000000301,28.814111261872455,28.059701492537314
ENSMUSG00000000303,13.975576662143826,22.111261872455902
ENSMUSG00000000308,17.32428765264586,20.03799185888738
ENSMUSG00000000317,12.439620081411126,10.404341926729986
ENSMUSG00000000320,7.0610583446404345,12.85753052917232
ENSMUSG00000000325,35.066485753052916,32.08683853459973
ENSMUSG00000000326,94.21438263229308,93.80732700135685
ENSMUSG00000000339,64.09226594301222,66.76797829036634
ENSMUSG00000000340,55.55495251017639,57.796472184531886
ENSMUSG00000000346,95.43012211668928,95.84803256445046
ENSMUSG00000000355,90.22523744911804,91.359565807327
ENSMUSG00000000365,20.84124830393487,14.675712347354139
ENSMUSG00000000374,62.355495251017636,62.29579375848032
ENSMUSG00000000378,93.7584803256445,94.18724559023066
ENSMUSG00000000384,67.46811397557666,67.359565807327
ENSMUSG00000000386,35.506105834464044,44.66757123473541
ENSMUSG00000000392,8.635006784260515,16.862957937584802
ENSMUSG00000000394,3.2781546811397555,14.480325644504749
ENSMUSG00000000399,88.7055630936228,89.27544097693352
ENSMUSG00000000409,99.00135685210311,99.13704206241519
ENSMUSG00000000420,77.94843962008142,79.8100407055631
ENSMUSG00000000439,68.3527815468114,66.87652645861601
