gen_name,cardiac non-myocyte and cardiomyocyte
ENSMUSG00000000001,89.24989405283232
ENSMUSG00000000028,40.744926307858925
ENSMUSG00000000037,28.271413099778687
ENSMUSG00000000049,21.655601073597968
ENSMUSG00000000056,66.8408908979611
ENSMUSG00000000058,96.56731176719876
ENSMUSG00000000078,98.51673965249329
ENSMUSG00000000085,79.10721853369121
ENSMUSG00000000088,96.75095352450911
ENSMUSG00000000093,55.954230823562646
ENSMUSG00000000094,16.202853510382823
ENSMUSG00000000120,39.167490700193056
ENSMUSG00000000126,51.7304704054245
ENSMUSG00000000127,72.8681075481471
ENSMUSG00000000131,69.11522343080473
ENSMUSG00000000134,75.63686019682629
ENSMUSG00000000142,37.886707162028536
ENSMUSG00000000148,46.079954795875125
ENSMUSG00000000149,70.57964872627961
ENSMUSG00000000154,39.50181287375806
ENSMUSG00000000157,11.239817299995291
ENSMUSG00000000159,20.07345670292414
ENSMUSG00000000167,34.51523284833075
ENSMUSG00000000168,77.07774167726139
ENSMUSG00000000171,87.74308989028582
ENSMUSG00000000183,13.937938503555117
ENSMUSG00000000184,95.26298441399445
ENSMUSG00000000194,94.10933747704479
ENSMUSG00000000197,38.96972265385883
ENSMUSG00000000202,22.926967085746575
ENSMUSG00000000204,35.10853698733343
ENSMUSG00000000215,14.68192305881245
ENSMUSG00000000216,1.7186984979046003
ENSMUSG00000000223,30.446861609455194
ENSMUSG00000000244,56.55224372557329
ENSMUSG00000000247,12.37933794792108
ENSMUSG00000000248,9.615294062249848
ENSMUSG00000000253,55.53044215284645
ENSMUSG00000000263,24.217168149927016
ENSMUSG00000000266,52.78052455619908
ENSMUSG00000000275,75.21307152611008
ENSMUSG00000000276,52.521542590761406
ENSMUSG00000000278,88.16687856100202
ENSMUSG00000000282,57.574045298300135
ENSMUSG00000000290,76.5833215614258
ENSMUSG00000000295,61.45877477986533
ENSMUSG00000000296,28.393840937985594
ENSMUSG00000000301,35.86193906860668
ENSMUSG00000000303,12.934971982860102
ENSMUSG00000000305,25.21542590761407
ENSMUSG00000000308,24.000565051560955
ENSMUSG00000000317,69.42600178932994
ENSMUSG00000000318,59.565852050666294
ENSMUSG00000000320,41.879738192776756
ENSMUSG00000000325,46.1600037670104
ENSMUSG00000000326,97.40547158261525
ENSMUSG00000000339,66.78909450487357
ENSMUSG00000000340,58.318029853557476
ENSMUSG00000000346,94.10462871403682
ENSMUSG00000000355,85.64298158873665
ENSMUSG00000000359,76.46089372321892
ENSMUSG00000000365,21.660309836605922
ENSMUSG00000000374,55.56340349390215
ENSMUSG00000000378,81.40980364458257
ENSMUSG00000000384,56.24146536704807
ENSMUSG00000000385,8.391015680180816
ENSMUSG00000000386,36.40815557752978
ENSMUSG00000000392,67.04336770730329
ENSMUSG00000000394,3.296134105570467
ENSMUSG00000000399,87.97381927767576
ENSMUSG00000000402,25.446155295004004
ENSMUSG00000000409,48.08117907425719
ENSMUSG00000000411,7.058435748928757
ENSMUSG00000000416,44.13994443659651
ENSMUSG00000000420,84.36219805057212
ENSMUSG00000000439,64.13806093139333
ENSMUSG00000000440,67.00098884023167
ENSMUSG00000000441,87.03677543909215
ENSMUSG00000000486,69.95338324622121
ENSMUSG00000000489,71.72387813721336
ENSMUSG00000000530,93.77030654047182
ENSMUSG00000000531,83.54758205019542
ENSMUSG00000000532,47.257145547864575
ENSMUSG00000000538,61.36930828271413
ENSMUSG00000000552,84.48462588877902
ENSMUSG00000000555,85.1768140509488
ENSMUSG00000000560,38.738993266468896
ENSMUSG00000000561,68.40890897961106
ENSMUSG00000000562,29.6981682911899
ENSMUSG00000000563,97.18886848424918
ENSMUSG00000000567,81.14611291613693
ENSMUSG00000000568,80.14314639544192
ENSMUSG00000000579,91.35471111738947
ENSMUSG00000000581,92.1646183547582
ENSMUSG00000000594,92.18816216979799
ENSMUSG00000000600,94.43895088760182
ENSMUSG00000000605,88.85906672317182
ENSMUSG00000000606,37.1427226067712
ENSMUSG00000000617,12.798417855629326
ENSMUSG00000000627,33.34275085934925
ENSMUSG00000000628,77.01652775815792
ENSMUSG00000000631,76.81405094881575
ENSMUSG00000000632,22.09351603333804
ENSMUSG00000000673,36.21509629420351
ENSMUSG00000000682,96.83571125865235
ENSMUSG00000000686,36.662428779959505
ENSMUSG00000000690,12.25220134670622
ENSMUSG00000000693,77.98653293779724
ENSMUSG00000000706,9.417526015915618
ENSMUSG00000000708,72.4443188774309
ENSMUSG00000000711,80.32207938974432
ENSMUSG00000000730,40.52832320949287
ENSMUSG00000000732,71.85572350143617
ENSMUSG00000000738,77.0871592032773
ENSMUSG00000000739,60.67712012054434
ENSMUSG00000000740,99.86344587276922
ENSMUSG00000000743,86.08089654847672
ENSMUSG00000000751,70.37246315392946
ENSMUSG00000000753,98.9169845081697
ENSMUSG00000000759,60.140321137637144
ENSMUSG00000000766,2.3590902669868625
ENSMUSG00000000776,74.09238593021612
ENSMUSG00000000782,35.61237462918491
ENSMUSG00000000787,93.52074210105006
ENSMUSG00000000791,20.219428356170834
ENSMUSG00000000792,17.728492724961153
ENSMUSG00000000794,41.79498045863352
ENSMUSG00000000804,59.627065969769745
ENSMUSG00000000805,88.37406413335216
ENSMUSG00000000811,52.42736733060225
ENSMUSG00000000817,28.568065169280032
ENSMUSG00000000823,48.834581155530444
ENSMUSG00000000826,85.10147384282149
ENSMUSG00000000827,92.93214672505533
ENSMUSG00000000838,84.45166454772331
ENSMUSG00000000861,39.092150492065734
ENSMUSG00000000869,26.439704289683103
ENSMUSG00000000876,84.84720064039178
ENSMUSG00000000881,43.25469699110044
ENSMUSG00000000884,37.34519941611339
ENSMUSG00000000889,23.64269906295616
ENSMUSG00000000901,61.44464849084146
ENSMUSG00000000902,89.35348683900739
ENSMUSG00000000903,44.45072279512172
ENSMUSG00000000915,60.017893299430234
ENSMUSG00000000916,61.228045392475394
ENSMUSG00000000934,46.02344963977963
ENSMUSG00000000938,10.91962141545416
ENSMUSG00000000942,16.584263314027407
ENSMUSG00000000948,46.88515327023591
ENSMUSG00000000957,91.56660545274757
ENSMUSG00000000958,61.05852992418892
ENSMUSG00000000959,81.3156283844234
ENSMUSG00000000976,71.36601214860856
ENSMUSG00000000982,95.1782266798512
ENSMUSG00000000983,40.613080943636106
ENSMUSG00000001014,29.533361585911383
ENSMUSG00000001016,99.99058247398408
ENSMUSG00000001017,87.55944813297548
ENSMUSG00000001018,86.3963836700099
ENSMUSG00000001020,89.57950746338936
ENSMUSG00000001021,27.301407920139383
ENSMUSG00000001023,19.979281442764986
ENSMUSG00000001025,99.62329895936337
ENSMUSG00000001027,10.199180675236615
ENSMUSG00000001029,95.84216226397325
ENSMUSG00000001034,66.09690634270378
ENSMUSG00000001036,82.38922635023779
ENSMUSG00000001039,67.16579554551019
ENSMUSG00000001052,71.51198380185525
ENSMUSG00000001053,70.04284974337241
ENSMUSG00000001054,71.88397607948393
ENSMUSG00000001056,84.73889909120874
ENSMUSG00000001062,73.26364364081556
ENSMUSG00000001065,54.03776427932382
ENSMUSG00000001076,6.375665112774874
ENSMUSG00000001082,84.39045062861986
ENSMUSG00000001089,91.1710693600791
ENSMUSG00000001095,16.085134435183875
ENSMUSG00000001098,89.12746621462541
ENSMUSG00000001100,80.32678815275227
ENSMUSG00000001105,94.18938644818007
ENSMUSG00000001119,98.46494325940576
ENSMUSG00000001120,46.62146254179027
ENSMUSG00000001123,90.959175024721
ENSMUSG00000001127,87.16862080331497
ENSMUSG00000001128,86.15623675660405
ENSMUSG00000001131,91.75495597306588
ENSMUSG00000001134,68.88920280642276
ENSMUSG00000001138,58.49696284785987
ENSMUSG00000001143,79.20610255685831
ENSMUSG00000001150,54.51334934312756
ENSMUSG00000001151,62.66892687291049
ENSMUSG00000001156,75.1989452370862
ENSMUSG00000001157,69.63789612468804
ENSMUSG00000001158,91.62311060884306
ENSMUSG00000001166,32.45279465084522
ENSMUSG00000001173,75.34962565334087
ENSMUSG00000001175,99.29368554880634
ENSMUSG00000001211,73.72510241559542
ENSMUSG00000001225,29.17549559730659
ENSMUSG00000001227,54.37679521589679
ENSMUSG00000001228,37.20393652587465
ENSMUSG00000001229,73.89932664688986
ENSMUSG00000001240,98.65329377972407
ENSMUSG00000001247,58.059047888119785
ENSMUSG00000001248,79.70052267269388
ENSMUSG00000001249,29.70758581720582
ENSMUSG00000001270,98.52144841550124
ENSMUSG00000001280,71.74742195225315
ENSMUSG00000001281,57.06549889344069
ENSMUSG00000001285,74.71865141027452
ENSMUSG00000001288,81.06606394500164
ENSMUSG00000001289,98.86989687809013
ENSMUSG00000001300,64.24636248057635
ENSMUSG00000001305,70.2453265527146
ENSMUSG00000001313,49.974101803456236
ENSMUSG00000001323,55.70937514714884
ENSMUSG00000001333,39.27579224937609
ENSMUSG00000001334,43.645524320760934
ENSMUSG00000001348,54.1178132504591
ENSMUSG00000001349,54.59339831426284
ENSMUSG00000001366,82.00310778358525
ENSMUSG00000001376,69.40245797429016
ENSMUSG00000001380,78.52804068371239
ENSMUSG00000001383,88.26105382116118
ENSMUSG00000001403,56.2838442341197
ENSMUSG00000001415,82.85539388802562
ENSMUSG00000001416,94.08579366200499
ENSMUSG00000001418,94.05283232094929
ENSMUSG00000001419,73.45670292414182
ENSMUSG00000001420,30.573998210670055
ENSMUSG00000001424,76.39026227809954
ENSMUSG00000001435,70.00517963930875
ENSMUSG00000001436,43.91863257522249
ENSMUSG00000001440,80.53868248811037
ENSMUSG00000001441,98.92640203418563
ENSMUSG00000001444,29.21787446437821
ENSMUSG00000001445,72.04878278476244
ENSMUSG00000001467,57.19734425766351
ENSMUSG00000001472,95.54551019447192
ENSMUSG00000001473,91.47713895559636
ENSMUSG00000001482,54.28261995573763
ENSMUSG00000001493,96.31303856476904
ENSMUSG00000001494,41.30056034279795
ENSMUSG00000001496,23.120026369072843
ENSMUSG00000001497,21.123510853698733
ENSMUSG00000001504,20.261807223242453
ENSMUSG00000001506,99.1948015256392
ENSMUSG00000001507,42.18109902528606
ENSMUSG00000001508,44.27649856382728
ENSMUSG00000001510,13.321090549512643
ENSMUSG00000001517,32.14201629232001
ENSMUSG00000001518,68.7950275462636
ENSMUSG00000001520,67.82031360361633
ENSMUSG00000001521,82.76592739087441
ENSMUSG00000001524,65.94151716344116
ENSMUSG00000001525,98.2813015020954
ENSMUSG00000001542,54.83825399067664
ENSMUSG00000001552,93.60079107218534
ENSMUSG00000001555,84.74831661722465
ENSMUSG00000001558,10.434618825634507
ENSMUSG00000001569,94.41069830955408
ENSMUSG00000001576,82.53048924047653
ENSMUSG00000001583,29.410933747704476
ENSMUSG00000001588,45.75975891133399
ENSMUSG00000001604,57.767104581626405
ENSMUSG00000001622,34.25154211988511
ENSMUSG00000001627,94.47191222865753
ENSMUSG00000001630,61.40697838677779
ENSMUSG00000001632,58.492254084851915
ENSMUSG00000001642,93.03103074822245
ENSMUSG00000001655,3.192541319395395
ENSMUSG00000001661,8.419268258228563
ENSMUSG00000001663,89.08037858454584
ENSMUSG00000001665,63.1915995667938
ENSMUSG00000001666,77.92061025568583
ENSMUSG00000001670,20.12525309601168
ENSMUSG00000001672,9.888402316711401
ENSMUSG00000001674,85.27098931110797
ENSMUSG00000001687,93.17229363846118
ENSMUSG00000001700,64.80199651551537
ENSMUSG00000001707,71.71916937420539
ENSMUSG00000001729,82.09257428073646
ENSMUSG00000001739,56.49102980646984
ENSMUSG00000001741,69.6096435466403
ENSMUSG00000001750,84.75773414324057
ENSMUSG00000001751,66.11103263172764
ENSMUSG00000001755,65.42826199557376
ENSMUSG00000001761,74.16772613834345
ENSMUSG00000001763,32.857748269529594
ENSMUSG00000001767,72.40194001035928
ENSMUSG00000001768,86.66007439845552
ENSMUSG00000001773,17.304704054244947
ENSMUSG00000001774,88.93440693129915
ENSMUSG00000001783,89.46649715119838
ENSMUSG00000001785,58.91604275556811
ENSMUSG00000001786,68.33356877148373
ENSMUSG00000001794,98.39431181428638
ENSMUSG00000001802,44.06460422846918
ENSMUSG00000001827,26.232518717332958
ENSMUSG00000001829,86.67890945048737
ENSMUSG00000001833,98.42727315534209
ENSMUSG00000001844,70.4807647031125
ENSMUSG00000001847,97.83867777934736
ENSMUSG00000001855,64.1286434053774
ENSMUSG00000001864,45.420727974761036
ENSMUSG00000001865,52.611009087912606
ENSMUSG00000001870,85.55351509158544
ENSMUSG00000001891,95.8044921599096
ENSMUSG00000001901,11.051466779676979
ENSMUSG00000001909,77.96298912275745
ENSMUSG00000001910,57.277393228798786
ENSMUSG00000001911,94.06695860997316
ENSMUSG00000001918,94.49545604369732
ENSMUSG00000001924,88.73663888496492
ENSMUSG00000001930,88.37877289636012
ENSMUSG00000001942,61.359890756698206
ENSMUSG00000001943,43.5937279276734
ENSMUSG00000001946,97.34896642651975
ENSMUSG00000001948,47.23831049583275
ENSMUSG00000001962,80.65640156330932
ENSMUSG00000001964,92.00452041248765
ENSMUSG00000001983,37.651269011630646
ENSMUSG00000001985,21.02462683053162
ENSMUSG00000001986,49.51735179168432
ENSMUSG00000001995,55.94010453453878
ENSMUSG00000001998,64.31699392569573
ENSMUSG00000001999,78.84823656825351
ENSMUSG00000002006,43.513678956538115
ENSMUSG00000002007,49.18302961811932
ENSMUSG00000002010,91.78320855111363
ENSMUSG00000002012,38.399962329895935
ENSMUSG00000002014,97.07114940905024
ENSMUSG00000002015,96.22828083062579
ENSMUSG00000002017,59.97551443235862
ENSMUSG00000002020,74.69510759523473
ENSMUSG00000002028,82.1208268587842
ENSMUSG00000002031,75.11418750294297
ENSMUSG00000002032,26.119508405141968
ENSMUSG00000002033,48.702735791307624
ENSMUSG00000002043,79.08367471865141
ENSMUSG00000002052,66.0498187126242
ENSMUSG00000002055,49.96468427744032
ENSMUSG00000002058,64.37820784479918
ENSMUSG00000002059,93.65258746527287
ENSMUSG00000002064,91.83971370720911
ENSMUSG00000002068,25.90290530677591
ENSMUSG00000002076,23.96760371050525
ENSMUSG00000002083,71.55436266892687
ENSMUSG00000002100,82.95898667420069
ENSMUSG00000002102,94.8768658473419
ENSMUSG00000002103,70.10877242548382
ENSMUSG00000002104,37.74073550878184
ENSMUSG00000002105,71.70504308518152
ENSMUSG00000002107,96.02109525827565
ENSMUSG00000002108,70.19353015962707
ENSMUSG00000002109,46.48019965155154
ENSMUSG00000002111,89.41470075811084
ENSMUSG00000002129,68.66318218204079
ENSMUSG00000002147,80.75999434948439
ENSMUSG00000002190,15.962706596976975
ENSMUSG00000002204,63.88849649197156
ENSMUSG00000002205,73.30602250788718
ENSMUSG00000002210,70.29241418279419
ENSMUSG00000002221,67.36356359184443
ENSMUSG00000002222,67.63667184630597
ENSMUSG00000002227,52.31906578141922
ENSMUSG00000002228,47.80807081979564
ENSMUSG00000002233,97.768046334228
ENSMUSG00000002249,50.68512501765786
ENSMUSG00000002250,62.89494749729246
ENSMUSG00000002257,58.355699957621134
ENSMUSG00000002265,77.44973395489005
ENSMUSG00000002266,21.13292837971465
ENSMUSG00000002274,52.7004755850638
ENSMUSG00000002279,68.16876206620522
ENSMUSG00000002280,62.27339078024203
ENSMUSG00000002289,82.05490417667278
ENSMUSG00000002297,93.80797664453549
ENSMUSG00000002307,69.51075952347318
ENSMUSG00000002308,63.91674907001931
ENSMUSG00000002319,64.91971559071432
ENSMUSG00000002320,79.2531901869379
ENSMUSG00000002324,7.063144511936715
ENSMUSG00000002325,84.2962753684607
ENSMUSG00000002326,82.43160521730941
ENSMUSG00000002329,84.62118001600979
ENSMUSG00000002332,78.54687573574421
ENSMUSG00000002342,73.95583180298536
ENSMUSG00000002343,53.053632810660645
ENSMUSG00000002345,66.65724914065075
ENSMUSG00000002346,46.564957385694775
ENSMUSG00000002365,86.05735273343693
ENSMUSG00000002372,77.97240664877336
ENSMUSG00000002379,95.42308235626501
ENSMUSG00000002384,5.443330037199227
ENSMUSG00000002393,79.72406648773367
ENSMUSG00000002395,95.56434524650375
ENSMUSG00000002396,58.52050666289965
ENSMUSG00000002409,48.31661722465508
ENSMUSG00000002413,66.03098366059236
ENSMUSG00000002416,95.10759523473183
ENSMUSG00000002428,69.15760229787635
ENSMUSG00000002455,70.06639355841222
ENSMUSG00000002458,76.22545557282102
ENSMUSG00000002459,20.275933512266327
ENSMUSG00000002475,45.298300136554126
ENSMUSG00000002477,90.4694636718934
ENSMUSG00000002486,47.84103216085134
ENSMUSG00000002489,50.5250270753873
ENSMUSG00000002496,68.07929556905401
ENSMUSG00000002500,45.59966096906343
ENSMUSG00000002504,97.21712106229693
ENSMUSG00000002524,92.51306681734708
ENSMUSG00000002546,68.22997598530866
ENSMUSG00000002550,72.45844516645478
ENSMUSG00000002565,39.10156801808165
ENSMUSG00000002578,38.75782831850073
ENSMUSG00000002580,90.63427037717192
ENSMUSG00000002588,4.388567123416679
ENSMUSG00000002602,97.56086076187785
ENSMUSG00000002603,94.26472665630739
ENSMUSG00000002608,62.24513820219428
ENSMUSG00000002617,42.746150586240994
ENSMUSG00000002625,81.84771860432264
ENSMUSG00000002635,72.656213212789
ENSMUSG00000002658,76.59273908744173
ENSMUSG00000002660,88.43998681546358
ENSMUSG00000002661,72.39252248434336
ENSMUSG00000002664,2.1189433535810145
ENSMUSG00000002668,58.487545321843946
